"circunscripcion","organismo","fecha","ingresa"
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-02-28,43
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-03-31,62
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-04-30,38
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-05-31,62
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-06-30,44
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-07-31,32
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-08-31,61
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-09-30,56
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-10-31,69
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-11-30,58
"Gualeguaychú","Cam Apelaciones Civ y Com",2019-12-31,47
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-02-29,37
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-03-31,23
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-04-30,1
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-05-31,37
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-06-30,58
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-07-31,33
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-08-31,46
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-09-30,46
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-10-31,45
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-11-30,34
"Gualeguaychú","Cam Apelaciones Civ y Com",2020-12-31,52
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-02-28,38
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-03-31,40
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-04-30,41
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-05-31,45
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-06-30,49
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-07-31,24
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-08-31,37
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-09-30,36
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-10-31,39
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-11-30,46
"Gualeguaychú","Cam Apelaciones Civ y Com",2021-12-31,62
"Gualeguaychú","Cam Apelaciones Civ y Com",2022-02-28,38
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-02-28,66
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-03-31,44
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-04-30,74
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-05-31,77
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-06-30,53
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-07-31,47
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-08-31,96
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-09-30,69
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-10-31,85
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-11-30,68
"Uruguay","Cam Apelaciones Sala Civ y Com",2019-12-31,70
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-02-29,44
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-03-31,42
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-04-30,1
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-05-31,5
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-06-30,31
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-07-31,27
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-08-31,59
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-09-30,27
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-10-31,63
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-11-30,48
"Uruguay","Cam Apelaciones Sala Civ y Com",2020-12-31,60
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-02-28,54
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-03-31,55
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-04-30,60
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-05-31,55
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-06-30,56
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-07-31,39
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-08-31,62
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-09-30,62
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-10-31,55
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-11-30,71
"Uruguay","Cam Apelaciones Sala Civ y Com",2021-12-31,75
"Uruguay","Cam Apelaciones Sala Civ y Com",2022-02-28,51
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-02-28,44
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-03-31,35
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-04-30,32
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-05-31,33
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-06-30,31
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-07-31,28
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-08-31,38
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-09-30,35
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-10-31,34
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-11-30,54
"Concordia","Cam Apelaciones Sala Civ y Com I",2019-12-31,35
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-02-29,34
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-03-31,18
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-04-30,9
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-05-31,21
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-06-30,34
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-07-31,24
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-08-31,50
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-09-30,41
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-10-31,37
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-11-30,34
"Concordia","Cam Apelaciones Sala Civ y Com I",2020-12-31,34
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-02-28,28
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-03-31,37
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-04-30,41
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-05-31,29
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-06-30,39
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-07-31,20
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-08-31,34
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-09-30,33
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-10-31,34
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-11-30,26
"Concordia","Cam Apelaciones Sala Civ y Com I",2021-12-31,35
"Concordia","Cam Apelaciones Sala Civ y Com I",2022-02-28,30
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-02-28,29
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-03-31,35
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-04-30,36
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-05-31,38
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-06-30,34
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-07-31,30
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-08-31,26
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-09-30,45
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-10-31,43
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-11-30,53
"Concordia","Cam Apelaciones Sala Civ y Com II",2019-12-31,32
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-02-29,28
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-03-31,20
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-04-30,7
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-05-31,17
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-06-30,23
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-07-31,36
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-08-31,40
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-09-30,36
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-10-31,32
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-11-30,31
"Concordia","Cam Apelaciones Sala Civ y Com II",2020-12-31,18
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-02-28,41
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-03-31,28
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-04-30,25
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-05-31,29
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-06-30,37
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-07-31,20
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-08-31,32
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-09-30,28
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-10-31,34
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-11-30,27
"Concordia","Cam Apelaciones Sala Civ y Com II",2021-12-31,28
"Concordia","Cam Apelaciones Sala Civ y Com II",2022-02-28,32
"Paraná","Cam Apelaciones II Sala I",2019-02-28,44
"Paraná","Cam Apelaciones II Sala I",2019-03-31,46
"Paraná","Cam Apelaciones II Sala I",2019-04-30,50
"Paraná","Cam Apelaciones II Sala I",2019-05-31,47
"Paraná","Cam Apelaciones II Sala I",2019-06-30,61
"Paraná","Cam Apelaciones II Sala I",2019-07-31,23
"Paraná","Cam Apelaciones II Sala I",2019-08-31,51
"Paraná","Cam Apelaciones II Sala I",2019-09-30,36
"Paraná","Cam Apelaciones II Sala I",2019-10-31,42
"Paraná","Cam Apelaciones II Sala I",2019-11-30,58
"Paraná","Cam Apelaciones II Sala I",2019-12-31,52
"Paraná","Cam Apelaciones II Sala I",2020-02-29,47
"Paraná","Cam Apelaciones II Sala I",2020-03-31,21
"Paraná","Cam Apelaciones II Sala I",2020-04-30,2
"Paraná","Cam Apelaciones II Sala I",2020-05-31,31
"Paraná","Cam Apelaciones II Sala I",2020-06-30,43
"Paraná","Cam Apelaciones II Sala I",2020-07-31,18
"Paraná","Cam Apelaciones II Sala I",2020-08-31,31
"Paraná","Cam Apelaciones II Sala I",2020-09-30,35
"Paraná","Cam Apelaciones II Sala I",2020-10-31,50
"Paraná","Cam Apelaciones II Sala I",2020-11-30,37
"Paraná","Cam Apelaciones II Sala I",2020-12-31,36
"Paraná","Cam Apelaciones II Sala I",2021-02-28,28
"Paraná","Cam Apelaciones II Sala I",2021-03-31,50
"Paraná","Cam Apelaciones II Sala I",2021-04-30,38
"Paraná","Cam Apelaciones II Sala I",2021-05-31,29
"Paraná","Cam Apelaciones II Sala I",2021-06-30,50
"Paraná","Cam Apelaciones II Sala I",2021-07-31,25
"Paraná","Cam Apelaciones II Sala I",2021-08-31,45
"Paraná","Cam Apelaciones II Sala I",2021-09-30,45
"Paraná","Cam Apelaciones II Sala I",2021-10-31,46
"Paraná","Cam Apelaciones II Sala I",2021-11-30,48
"Paraná","Cam Apelaciones II Sala I",2021-12-31,51
"Paraná","Cam Apelaciones II Sala I",2022-02-28,46
"Paraná","Cam Apelaciones II Sala II",2019-02-28,60
"Paraná","Cam Apelaciones II Sala II",2019-03-31,55
"Paraná","Cam Apelaciones II Sala II",2019-04-30,44
"Paraná","Cam Apelaciones II Sala II",2019-05-31,61
"Paraná","Cam Apelaciones II Sala II",2019-06-30,35
"Paraná","Cam Apelaciones II Sala II",2019-07-31,28
"Paraná","Cam Apelaciones II Sala II",2019-08-31,66
"Paraná","Cam Apelaciones II Sala II",2019-09-30,44
"Paraná","Cam Apelaciones II Sala II",2019-10-31,44
"Paraná","Cam Apelaciones II Sala II",2019-11-30,50
"Paraná","Cam Apelaciones II Sala II",2019-12-31,45
"Paraná","Cam Apelaciones II Sala II",2020-02-29,51
"Paraná","Cam Apelaciones II Sala II",2020-03-31,28
"Paraná","Cam Apelaciones II Sala II",2020-04-30,6
"Paraná","Cam Apelaciones II Sala II",2020-05-31,36
"Paraná","Cam Apelaciones II Sala II",2020-06-30,47
"Paraná","Cam Apelaciones II Sala II",2020-07-31,22
"Paraná","Cam Apelaciones II Sala II",2020-08-31,56
"Paraná","Cam Apelaciones II Sala II",2020-09-30,43
"Paraná","Cam Apelaciones II Sala II",2020-10-31,57
"Paraná","Cam Apelaciones II Sala II",2020-11-30,39
"Paraná","Cam Apelaciones II Sala II",2020-12-31,39
"Paraná","Cam Apelaciones II Sala II",2021-02-28,42
"Paraná","Cam Apelaciones II Sala II",2021-03-31,52
"Paraná","Cam Apelaciones II Sala II",2021-04-30,30
"Paraná","Cam Apelaciones II Sala II",2021-05-31,37
"Paraná","Cam Apelaciones II Sala II",2021-06-30,42
"Paraná","Cam Apelaciones II Sala II",2021-07-31,23
"Paraná","Cam Apelaciones II Sala II",2021-08-31,39
"Paraná","Cam Apelaciones II Sala II",2021-09-30,45
"Paraná","Cam Apelaciones II Sala II",2021-10-31,39
"Paraná","Cam Apelaciones II Sala II",2021-11-30,40
"Paraná","Cam Apelaciones II Sala II",2021-12-31,58
"Paraná","Cam Apelaciones II Sala II",2022-02-28,37
"Paraná","Cam Apelaciones II Sala III",2019-02-28,48
"Paraná","Cam Apelaciones II Sala III",2019-03-31,48
"Paraná","Cam Apelaciones II Sala III",2019-04-30,52
"Paraná","Cam Apelaciones II Sala III",2019-05-31,59
"Paraná","Cam Apelaciones II Sala III",2019-06-30,43
"Paraná","Cam Apelaciones II Sala III",2019-07-31,24
"Paraná","Cam Apelaciones II Sala III",2019-08-31,70
"Paraná","Cam Apelaciones II Sala III",2019-09-30,48
"Paraná","Cam Apelaciones II Sala III",2019-10-31,43
"Paraná","Cam Apelaciones II Sala III",2019-11-30,56
"Paraná","Cam Apelaciones II Sala III",2019-12-31,47
"Paraná","Cam Apelaciones II Sala III",2020-02-29,55
"Paraná","Cam Apelaciones II Sala III",2020-03-31,21
"Paraná","Cam Apelaciones II Sala III",2020-04-30,7
"Paraná","Cam Apelaciones II Sala III",2020-05-31,29
"Paraná","Cam Apelaciones II Sala III",2020-06-30,43
"Paraná","Cam Apelaciones II Sala III",2020-07-31,25
"Paraná","Cam Apelaciones II Sala III",2020-08-31,43
"Paraná","Cam Apelaciones II Sala III",2020-09-30,33
"Paraná","Cam Apelaciones II Sala III",2020-10-31,50
"Paraná","Cam Apelaciones II Sala III",2020-11-30,46
"Paraná","Cam Apelaciones II Sala III",2020-12-31,31
"Paraná","Cam Apelaciones II Sala III",2021-02-28,42
"Paraná","Cam Apelaciones II Sala III",2021-03-31,43
"Paraná","Cam Apelaciones II Sala III",2021-04-30,44
"Paraná","Cam Apelaciones II Sala III",2021-05-31,44
"Paraná","Cam Apelaciones II Sala III",2021-06-30,50
"Paraná","Cam Apelaciones II Sala III",2021-07-31,18
"Paraná","Cam Apelaciones II Sala III",2021-08-31,49
"Paraná","Cam Apelaciones II Sala III",2021-09-30,46
"Paraná","Cam Apelaciones II Sala III",2021-10-31,39
"Paraná","Cam Apelaciones II Sala III",2021-11-30,46
"Paraná","Cam Apelaciones II Sala III",2021-12-31,47
"Paraná","Cam Apelaciones II Sala III",2022-02-28,0
"Concordia","Cam Apelaciones Sala Laboral",2019-02-28,49
"Concordia","Cam Apelaciones Sala Laboral",2019-03-31,34
"Concordia","Cam Apelaciones Sala Laboral",2019-04-30,37
"Concordia","Cam Apelaciones Sala Laboral",2019-05-31,49
